Call San Diego Zoo,Places.Make_call,places.place_name->San Diego Zoo;
Call Seaport Village,MakeCall,communication.contact_name->Seaport Village;
call voicemail using speakerphone,communication.call_voice_mail,communication.audio_device_type->speakerphone;
caller is requesting i press 1,communication.press_key,
can i add a name and a number to my contacts ?,Add_Communication,
can i have my voicemail read to me ?,communication.call_voice_mail,
can i have the phone number to ring virgin off a virgin landline,GetPhoneNumber,places.place_name->virgin;places.source_platform-><START places.place_name>virgin;
Can I report a bug ?,None,
Can I take amtrak 517 tukwila ?,GetRoute,places.transportation_company->amtrak;AbsoluteLocation->517 tukwila;
can I take route 11 instead of 12 to Hampton ?,Places_Map_Question,places.prefer_route->route 11;places.avoid_route->12;AbsoluteLocation->Hampton;
can I take route 42 instead of 41 to get to hampton,Places_Map_Question,places.prefer_route->route 42;AbsoluteLocation->41;
Can I watch disney channel ?,None,
Can Reservations be made at Fridays restaurants ?,Places_CreateReservation,places.amenities->Reservations;places.place_name->Fridays restaurants;
can you add something to onenote,None,
can you add to fitbit,None,
can you answer me now ?,None,
can you brighten the screen,None,
Can you call the person I called last ?,Communication_Redial,
can you cancel my Uber reservation ?,Places.Book_Public_Transport,places.transportation_company->Uber;
Can you cancel the taxi for me,Places.Book_Public_Transport,
can you change my reminder,reminder.change_reminder,
can you check my voicemail,None,
Can you clear MOM note ?,note.create_note,
can you click next,None,
Can you decrease the brightness to fifty,ondevice.open_setting,ondevice.setting_type->brightness;
Can you delete my events this saturday ?,Calendar.Delete_Calendar_Entry,calendar.start_date->this saturday;
Can you display the application bar,None,
Can you display the context menu,None,
Can you file a bug for me ?,None,
Can you find a cozier restaurant in my location ?,FindPlaces,places.place_name->cozier restaurant;
can you find me alternative routes,GetRoute,places.prefer_route->alternative;
can you find me tickets to the seahawks game,None,
can you find movie tickets,None,
can you find the reminder that Jack turns twenty,reminder.find_reminder,reminder.reminder_text->Jack turns twenty;
can you find the times for the metro bus one sixty nine,Places.Get_Public_Transport_Schedule,places.transportation_company->metro bus;places.public_transportation_route->one sixty nine;
can you find tickets for lego land,None,
Can you get how much weight I should loss to reach the ideal weight?,GetRoute,
Can you give me a traffic report,Places_CheckTraffic,
can you hear me,None,
can you hear me ?,None,
can you hear me?,None,
can you help me book a restaurant ?,Places_CreateReservation,places.place_type->restaurant;
can you help me here,None,
Can you help me in pairing Bluetooth signal to phone,ondevice.open_setting,ondevice.setting_type->Bluetooth;
Can you help me in the setup process,None,
Can you help me?,None,
Can you invite call of duty game ?,None,
Can you invite friends in Call of duty party,None,
can you locate my phone,None,
can you log off,None,
can you look up ironman ticket,None,
can you lower my volume,None,
Can you pair the wifi signal with the TV,None,
Can you pause movies please,None,
Can you play a comedy italian movie ?,None,
can you please call Harry,MakeCall,
can you please call Joseph,MakeCall,
Can you please record situps,None,
can you please resend my last text message ?,Comunication_Synthesis,
can you read me the last email that came into the live downtown miami account august eleven,Comunication_Synthesis,communication.order_ref->last;communication.message_type->email;communication.source_platform->live downtown miami;communication.date->august eleven;
can you read my email from Berry Chris,Comunication_Synthesis,communication.message_type->email;communication.from_contact_name->Berry Chris;
Can you read the grocery list note please,note.read_aloud,note.title->grocery list;
Can you record weight please,None,
Can you record weight please ?,None,
Can you restart for me?,None,
Can you send an email to Keil Mark at gmail . com ? ?,SendEmail,communication.email_address->Keil Mark at gmail . com ?;
Can you send invite to Keil to play Fifa 17,communication.send_text,communication.contact_name->Keil;communication.message->play Fifa 17;
can you set a note up to mom,note.create_note,note.contact_name->mom;
Can you set it up now ?,None,
can you show me the application bar,None,
can you show me the context menu,None,
Can you show me the previous please ?,ondevice.skip_back,
can you show me the remaining number of steps to hit my last record?,None,
can you show ratings for the closest tgi fridays,places.get_star_rating,places.nearby->closest;places.place_name->tgi fridays;
can you show the number of steps I should run to hit my last record ?,None,
can you shut down my computer,None,
can you switch to google maps,None,
can you take a snapshot with my camera,None,
Can you tell me how long will it take me to drive from my house to U District,Places_Ensure_TravelTime,places.transportation_type->drive;places.from_place_type->house;places.place_name->U District;
Can you tell me how many calories I should take for dinner ?,None,
Can you tell me how many kilometers to run in order to reach 20 kilometers running,None,
Can you tell me how many steps I should run to hit my last record ?,None,
Can you track my weight via a note?,note.create_note,
Can you translate what is your name in Japanese ?,None,
can you turn down the brightness,ondevice.open_setting,ondevice.setting_type->brightness;
can you turn off call forward ?,Communication_Forwarding_Disable,
Can you unmute the volume for me please,None,
cancel,None,
Cancel an event on the calendar,Calendar.Delete_Calendar_Entry,
Cancel appointment,Calendar.Delete_Calendar_Entry,
Cancel brawl,None,
cancel expanse,None,
cancel it,None,
cancel my uber reservation,Places.cancel,places.transportation_company->uber;
cancel navigation,None,
cancel reminder for iced tea,reminder.delete_reminder,reminder.reminder_text->iced tea;
cancel silent hours,OnDevice.Settings.Off,
cancel speaker phone,communication.speakerphone_off,communication.audio_device_type->speaker phone;
cancel the suv reservation,Places.cancel,
cancel this song,ondevice.pause,
Cancel Uber Black reservation to work,Places.Book_Public_Transport,places.transportation_company->Uber Black;places.place_type->work;
cancel uber reservation for 5pm,Places.Book_Public_Transport,places.transportation_company->uber;places.time->5pm;
cancel uber x I reserved,Places.cancel,places.transportation_company->uber x;
Cancel Uber X reservation,Places.cancel,places.transportation_company->Uber X;
change call to bluetooth,Communication_EnableSpeaker,communication.audio_device_type->bluetooth;
change contact name from Marina to daughter,Communication_AssignName,communication.from_contact_name->Marina;communication.from_relationship_name->daughter;
change current call to speakerphone,Communication_EnableSpeaker,communication.audio_device_type->speakerphone;
change from speaker to no speaker talk,communication.speakerphone_off,communication.audio_device_type->speaker;communication.audio_device_type->speaker;
change reminder,reminder.change_reminder,
change reminder time,reminder.change_reminder,reminder.slot_attribute->time;
Change station,None,
change temperature to seventy two degrees,weather.weather_other,
Change the meeting with Chris to 9 : 00 am,Calendar.Change_Calendar_Entry,calendar.title->meeting with Chris;calendar.start_time->9 : 00 am;
Change the meeting with Chris to 9:00 am,Calendar.Change_Calendar_Entry,calendar.title->meeting with Chris;calendar.start_time->9:00 am;
Change theme song,ondevice.open_setting,ondevice.setting_type->theme;
cheap breakfast please,None,
Check for me the nearest romantic cafe,FindPlaces,places.nearby->nearest;places.place_type->romantic cafe;
Check for me the traffic jams,Places_CheckTraffic,
check for seattle i-5 accident,Places.Check_Accident,AbsoluteLocation->seattle i-5;
Check Friday at 9 am,Calendar.Find_Calendar_Entry,calendar.start_date->Friday;calendar.start_time->9 am;
Check if I have time for a meeting tonight,Calendar.Find_Calendar_Entry,calendar.start_time->tonight;
check my wifi status,ondevice.open_setting,ondevice.setting_type->wifi;
check reviews for husqvarna weed wacker,places.get_reviews,places.product->husqvarna weed wacker;
check reviews for IBS company,places.get_reviews,places.place_name->IBS company;
Check the traffic for me at the nearby area,Places_CheckTraffic,places.nearby->nearby;
Check the traffic to home,Places_CheckTraffic,places.place_type->home;
check update,None,
check wi fi please,ondevice.open_setting,ondevice.setting_type->wi fi;
check wifi connection,ondevice.open_setting,ondevice.setting_type->wifi;
check-in room three forty seven,None,
chilis from work please,None,
Choose place no. one,None,
cilantro please,None,
clear all items from the chores list .,None,
clear all note from last tuesday .,mystuff.transform_my_stuff,mystuff.transform_action->clear;mystuff.data_type->note;mystuff.start_date->last tuesday;
Clear for me all the dummy notes,mystuff.transform_my_stuff,mystuff.transform_action->Clear;mystuff.keyword->dummy;mystuff.data_type->notes;
clear last note,mystuff.transform_my_stuff,mystuff.transform_action->clear;mystuff.order_ref->last;mystuff.data_type->note;
clear my save notes,mystuff.transform_my_stuff,mystuff.transform_action->clear;mystuff.data_type->notes;
Click for me on previous,None,
Click on previous for me,None,
click on the call button,MakeCall,
close bing,None,
close browser,None,
close cortana,ondevice.ondevice_other,ondevice.app_name->cortana;
close facebook,ondevice.ondevice_other,ondevice.app_name->facebook;
Close game,None,
close magnifier,ondevice.ondevice_other,ondevice.app_name->magnifier;
close mail,ondevice.ondevice_other,ondevice.app_name->mail;
close music player,ondevice.ondevice_other,ondevice.app_name->music player;
coffee bar on please,None,
color scheme change,ondevice.open_setting,ondevice.setting_type->color scheme;
colored dumplings beijing please,None,
compare the cheapest italian restaurants in my area .,FindPlaces,places.price_range->cheapest;places.cuisine->italian;places.place_type->restaurants;
compose email to David with subject Hey,SendEmail,communication.contact_name->David;communication.message->Hey;
Compose email to David with subject Hey .,SendEmail,communication.contact_name->David;communication.message->Hey;
Conference Preparations subject in new email to Song and Hung,SendEmail,communication.contact_name->Song;
connect to bluetooth,OnDevice.Settings.On,ondevice.setting_type->bluetooth;
contact 5 call,MakeCall,communication.position_ref->5;
contact option one,MakeCall,communication.position_ref->one;
contacts please,None,
context menu please,None,
continue playing track,ondevice.resume,
Continue watching,None,
conversation hands - free,Communication_EnableSpeaker,communication.audio_device_type->hands - free;
conversation hands-free,Communication_EnableSpeaker,communication.audio_device_type->hands-free;
create a gmail,SendEmail,communication.destination_platform->gmail;
create an appoinment with Mr. red on this Wednesday after 9:00 AM,Calendar.Create_Calendar_Entry,
Create for me a note about Car Oil,note.create_note,note.note_text->Car Oil;
create My Favorites note,note.create_note,note.title->Favorites;
create note with notepad,note.create_note,
create reminder,reminder.create_single_reminder,
cross off shorts from my shopping list .,mystuff.find_my_stuff,mystuff.keyword->cross off shorts;
cross off sugar from shopping list,None,
cross out milk from the list,None,
cross out vitamins from list,None,
cross shampoo off my shopping list,None,
current weather ?,Weather.CheckWeather,weather.time_range->current;
Deactivate Bluetooth .,OnDevice.Settings.Off,ondevice.setting_type->Bluetooth;
decrease brightness please,ondevice.open_setting,ondevice.setting_type->brightness;
decrease the brightness,ondevice.open_setting,ondevice.setting_type->brightness;
decrease the volume please,None,
delete bananas from my shopping list,mystuff.transform_my_stuff,mystuff.transform_action->delete;mystuff.keyword->bananas;
delete cat food from pet store list,reminder.delete_reminder,reminder.reminder_text->cat food;reminder.implicit_location->pet store;
delete cookies from shopping list,mystuff.transform_my_stuff,mystuff.transform_action->delete;mystuff.keyword->cookies;
Delete Insurance note please,mystuff.transform_my_stuff,mystuff.transform_action->Delete;mystuff.keyword->Insurance;mystuff.data_type->note;
delete latest note,mystuff.transform_my_stuff,mystuff.transform_action->delete;mystuff.order_ref->latest;mystuff.data_type->note;
DELETE LIBRARY LIST,mystuff.transform_my_stuff,mystuff.transform_action->DELETE;mystuff.keyword->LIBRARY LIST;
delete meeting reminders,reminder.delete_reminder,reminder.reminder_text->meeting;
delete milk from shopping list,mystuff.transform_my_stuff,mystuff.transform_action->delete;mystuff.keyword->milk;
delete my ideas list,mystuff.transform_my_stuff,mystuff.transform_action->delete;mystuff.keyword->ideas list;
Delete note: Summer Reading List.,mystuff.transform_my_stuff,mystuff.transform_action->Delete;mystuff.data_type->note;mystuff.keyword->Summer Reading List;
delete poetry notes,mystuff.transform_my_stuff,mystuff.transform_action->delete;mystuff.keyword->poetry;mystuff.data_type->notes;
delete reminder for class,reminder.delete_reminder,reminder.reminder_text->class;
delete reminder twenty eight,reminder.delete_reminder,reminder.reminder_text->twenty eight;
delete shorts from shopping list,mystuff.transform_my_stuff,mystuff.transform_action->delete;mystuff.keyword->shorts;
delete surprise party reminder,reminder.delete_reminder,reminder.reminder_text->surprise party;
Delete that and start again,None,
Delete the note number two,mystuff.transform_my_stuff,mystuff.transform_action->Delete;mystuff.data_type->note;mystuff.keyword->number two;
Delete the note of name Guest list,mystuff.transform_my_stuff,mystuff.transform_action->Delete;mystuff.data_type->note;mystuff.title->Guest list;
delete the wallpaper design from my ideas list,mystuff.transform_my_stuff,mystuff.transform_action->delete;mystuff.keyword->wallpaper design;
delete underwear on shopping list,mystuff.transform_my_stuff,mystuff.transform_action->delete;mystuff.keyword->shopping list;
Dial 990-158-4567,MakeCall,communication.phone_number->990-158-4567;
dial star eight nine,communication.press_key,communication.key->star eight nine;
dim the display,ondevice.open_setting,ondevice.setting_type->display;
directions driving to panera bread avoid construction,GetRoute,places.transportation_type->driving;places.place_name->panera bread;places.avoid_route->construction;
directions to leavenworth snoqualmie pass,GetRoute,AbsoluteLocation->leavenworth;places.prefer_route->snoqualmie pass;
disable data,OnDevice.Settings.Off,ondevice.setting_type->data;
disable my call forwarding,Communication_Forwarding_Disable,
Disconnect bluetooth .,OnDevice.Settings.Off,ondevice.setting_type->bluetooth;
disconnect speaker,communication.speakerphone_off,communication.audio_device_type->speaker;
Display a list of old american songs,None,
Display a list of soft rock songs from the 90s .,mystuff.find_my_stuff,mystuff.keyword->list of soft rock;mystuff.data_type->songs;
display all of the bakeries within 5 miles of us right now .,FindPlaces,places.place_type->bakeries;places.distance->within 5 miles;places.time->now;
Display Cool movies please,None,
display dog groomer reminder,reminder.find_reminder,reminder.reminder_text->dog groomer;
Display Driving Directions to Freight House bypass construction please,GetRoute,places.transportation_type->Driving;places.place_name->Freight House;places.avoid_route->construction;
display for me the application bar,None,
display for me the context menu,Places_GetMenu,places.place_name->the context;
Display for me the previous,ondevice.open_setting,
Display good comedies please,None,
Display I am happy in French,None,
Display johnny depp movies,None,
Display lego movie trailer,None,
Display minecraft videos,None,
display newest horror results,None,
Display the 2k14 demo,None,
Display the 3 star rating programs,None,
display the cocktail menu at china pub,Places_GetMenu,places.product->cocktail;places.place_name->china pub;
display the current call forwarding setting,communication.forwarding_status,
display the fastest crossing across the sahara desert,FindPlaces,places.prefer_route->fastest;places.place_name->crossing;AbsoluteLocation->sahara desert;
display the fastest way to san antonio from austin,GetRoute,places.prefer_route->fastest;AbsoluteLocation->san antonio;places.from_absolute_location->austin;
Display the next message,communication.show_next,
display the next note,note.show_next,
Display the next note please,note.show_next,
Display the number of calories to eat in breakfast,GetPhoneNumber,places.place_name->calories;places.meal_type->breakfast;
Display the previous for me,ondevice.open_setting,
Display the remaining kilometers to reach 15 kilometers run,GetDistance,
display the spices section pricing,places.get_price_range,places.product->spices;
Display the steps to walk in order to burn 200 calories,None,
Display weekend plans,Calendar.Find_Calendar_Entry,calendar.start_date->weekend;
distance from taco bell to my location,GetDistance,places.from_place_name->taco bell;
do a pair bluetooth connection to my mobile phone,None,
do all of my calls forward ?,communication.forwarding_status,
do fl residents usually need ice scrapers,weather.check_weather_facts,weather.suitable_for->ice scrapers;
Do I have anything on wednesday?,Calendar.Find_Calendar_Entry,calendar.start_date->wednesday;
do it all over again ?,None,
Do not call anyone right now,None,
do not forward calls,Communication_Forwarding_Disable,
do not read the text right now,Comunication_IgnoreIncoming,
do not worry about this message,Comunication_IgnoreIncoming,
Do pause please,ondevice.pause,
do pausing please,None,
Do resuming for the current playing music,ondevice.resume,
Do setup for me,None,
Do you mean I should take 245 bus route map in bellevue ?,None,
Does tio tonys deliver,None,
does vta bus go past willow street pizza,Places_Map_Question,places.transportation_company->vta;places.transportation_type->bus;places.place_name->willow street pizza;
does wild ginger bellevue exist within five miles ?,Places_Map_Question,places.place_name->wild ginger;AbsoluteLocation->bellevue;places.distance->within five miles;
dog friendly hotel shasta california,FindPlaces,places.atmosphere->dog friendly;places.place_type->hotel;AbsoluteLocation->shasta california;
Drive me to the fast one,GetRoute,places.transportation_type->Drive;
drive to chilis avoiding tolls,GetRoute,places.transportation_type->drive;places.place_name->chilis;places.avoid_route->tolls;
dsw shoes 7804 on Monday 3 : 00 pm,Calendar.Create_Calendar_Entry,calendar.title->dsw shoes 7804;calendar.start_date->Monday;calendar.start_time->3 : 00 pm;
dunmore pa sonic sounds Friday morning please,None,
edit settings .,ondevice.open_setting,
Edit the meeting to be 7:30 not 8:30,Calendar.Change_Calendar_Entry,calendar.start_time->7:30;calendar.original_start_time->8:30;
email Andy Check,SendEmail,communication.from_contact_name->Andy Check;
email cloney John,SendEmail,communication.contact_name->cloney John;
Email Henry Matthew,SendEmail,communication.contact_name->Henry Matthew;
email Max about n l p,None,
email Morris trip itinerary,SendEmail,communication.contact_name->Morris;communication.message->trip itinerary;
email pictures,communication.communication_other,
Email robert hello,SendEmail,communication.contact_name->robert;communication.message->hello;
email to mike waters mike that dinner last week was splendid,SendEmail,
emission test Bellevue please,FindPlaces,places.service_provided->emission test;AbsoluteLocation->Bellevue;
enable speed dial 4,communication.set_speeddial,communication.speed_dial->4;
end speaker phone,communication.speakerphone_off,communication.audio_device_type->speaker phone;
english tv please,None,
enter weight 185 at fitbit,None,
epic games please,None,
Extend lunch meeting 30 minutes extra,Calendar.Change_Calendar_Entry,calendar.title->lunch meeting;calendar.duration->30 minutes extra;
extend reminder,reminder.change_reminder,
facebook Candy Bell,None,
facebook log in,None,
facebook message Greg,None,
family games with donkey kong please,None,
fast forward to two minutes,None,
fatima luas stop dublin please,None,
ferry schedule please,None,
file a bug please,None,
Filing a bug please,None,
find 2 tickets to the steven tyler show in seattle,None,
find a hospital within close proximity,FindPlaces,places.place_type->hospital;places.distance->within close proximity;
Find action flicks or Hugh Jackman movies,None,
find closest family restaurant,FindPlaces,places.nearby->closest;places.atmosphere->family;places.place_type->restaurant;
find directions from work to home,GetRoute,places.from_place_type->work;places.place_type->home;
Find for me a luxurious restaurant,FindPlaces,places.atmosphere->luxurious;places.place_type->restaurant;
Find for me Jack Robert from Florida beach,FindPlaces,places.place_name->Jack Robert;places.from_absolute_location->Florida beach;
find for me pacific science center imax showing time,FindPlaces,places.place_name->pacific science center imax;
Find for me recipe apps,None,
find harvard crimson next game tickets,None,
find hindi music,None,
find hotels in indore,FindPlaces,
find me a few mmo rpg games,None,
find me a good restaurant for lunch,FindPlaces,places.rating->good;places.place_type->restaurant;places.meal_type->lunch;
Find me all alternative rock by smashing pumpkins,None,
find me the burger house that is open on friday eve .,FindPlaces,places.place_type->burger house;places.open_status->open;places.date->friday;places.time->eve;
find me the cheapest taxi near me,Places.Book_Public_Transport,places.price_range->cheapest;places.service_provided->taxi;places.nearby->near;
find me tickets for deftones at pnc,None,
find music store within one block,FindPlaces,places.place_type->music store;places.distance->within one block;
find my phone,ondevice.open_setting,ondevice.setting_type->find my phone;
Find my phone if you please,ondevice.open_setting,
find my sim card,None,
Find my taxi .,Places.Book_Public_Transport,places.transportation_type->taxi;
find my xbox,None,
